"Statistic:   Number of Applicants"
"Variables:   Achieved A-Level point score , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_044_06.pdf"
 
Cycle Year,Achieved A-Level point score , Ethnic Group (Summary Level),Number of Applicants,
2015 ,"'16 points' ","'Asian' ",1185
2015 ,"'16 points' ","'Black' ",215
2015 ,"'16 points' ","'Mixed' ",480
2015 ,"'16 points' ","'White' ",8935
2015 ,"'16 points' ","'Other' ",105
2015 ,"'16 points' ","'Unknown' ",115
2015 ,"'17 points' ","'Asian' ",800
2015 ,"'17 points' ","'Black' ",105
2015 ,"'17 points' ","'Mixed' ",330
2015 ,"'17 points' ","'White' ",5790
2015 ,"'17 points' ","'Other' ",60
2015 ,"'17 points' ","'Unknown' ",75
2015 ,"'18 points' ","'Asian' ",750
2015 ,"'18 points' ","'Black' ",55
2015 ,"'18 points' ","'Mixed' ",255
2015 ,"'18 points' ","'White' ",4465
2015 ,"'18 points' ","'Other' ",65
2015 ,"'18 points' ","'Unknown' ",80
2016 ,"'3 points' ","'Asian' ",50
2016 ,"'3 points' ","'Black' ",15
2016 ,"'3 points' ","'Mixed' ",15
2016 ,"'3 points' ","'White' ",155
2016 ,"'3 points' ","'Other' ",5
2016 ,"'3 points' ","'Unknown' ",5
