"Statistic:   Number of Applications"
"Variables:   Subject Group (Detailed Level) , Apply Centre Type , Cycle Year"
"Coverage:   Applications through the main scheme, UK domiciled and 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_030_03.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Apply Centre Type,Number of Applications,
2007 ,"'FF - Combinations within Physical Sciences' ","'Independent' ",415
2007 ,"'FF - Combinations within Physical Sciences' ","'Sixth form college' ",810
2007 ,"'FF - Combinations within Physical Sciences' ","'State' ",1515
2007 ,"'FF - Combinations within Physical Sciences' ","'Other' ",70
2007 ,"'G0 - Mathematical Sciences: any area' ","'Academy' ",10
2007 ,"'G0 - Mathematical Sciences: any area' ","'Sixth form college' ",5
2007 ,"'G0 - Mathematical Sciences: any area' ","'State' ",30
2007 ,"'G0 - Mathematical Sciences: any area' ","'Other' ",5
2007 ,"'G1 - Mathematics' ","'Academy' ",8010
2007 ,"'G1 - Mathematics' ","'Further education' ",1265
2007 ,"'G1 - Mathematics' ","'Grammar' ",1265
2007 ,"'G1 - Mathematics' ","'Independent' ",2695
2007 ,"'G1 - Mathematics' ","'Sixth form college' ",4275
2007 ,"'G1 - Mathematics' ","'State' ",6860
2007 ,"'G1 - Mathematics' ","'Other' ",405
2007 ,"'G2 - Operational Research' ","'Academy' ",25
2007 ,"'G2 - Operational Research' ","'Further education' ",15
2007 ,"'G2 - Operational Research' ","'Independent' ",20
2007 ,"'G2 - Operational Research' ","'Sixth form college' ",20
2007 ,"'G2 - Operational Research' ","'State' ",45
2007 ,"'G2 - Operational Research' ","'Other' ",5
2007 ,"'G3 - Statistics' ","'Academy' ",115
2007 ,"'G3 - Statistics' ","'Further education' ",30
2007 ,"'G3 - Statistics' ","'Grammar' ",25
2007 ,"'G3 - Statistics' ","'Independent' ",30
2007 ,"'G3 - Statistics' ","'Sixth form college' ",70
2007 ,"'G3 - Statistics' ","'State' ",90
2007 ,"'G3 - Statistics' ","'Other' ",10
2007 ,"'G9 - Others in Mathematical Sciences' ","'Academy' ",5
2007 ,"'G9 - Others in Mathematical Sciences' ","'Sixth form college' ",15
2007 ,"'G9 - Others in Mathematical Sciences' ","'State' ",25
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Academy' ",400
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Further education' ",100
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Grammar' ",115
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Independent' ",165
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Sixth form college' ",215
2007 ,"'GG - Combinations within Mathematical Sciences' ","'State' ",450
2007 ,"'GG - Combinations within Mathematical Sciences' ","'Other' ",45
2007 ,"'H0 - Engineering: any area of study' ","'Academy' ",35
2007 ,"'H0 - Engineering: any area of study' ","'Further education' ",35
2007 ,"'H0 - Engineering: any area of study' ","'Grammar' ",5
2007 ,"'H0 - Engineering: any area of study' ","'Independent' ",25
2007 ,"'H0 - Engineering: any area of study' ","'Sixth form college' ",20
2007 ,"'H0 - Engineering: any area of study' ","'State' ",30
2007 ,"'H0 - Engineering: any area of study' ","'Other' ",10
2007 ,"'H1 - General Engineering' ","'Academy' ",1525
2007 ,"'H1 - General Engineering' ","'Further education' ",765
2007 ,"'H1 - General Engineering' ","'Grammar' ",305
2007 ,"'H1 - General Engineering' ","'Independent' ",1185
2007 ,"'H1 - General Engineering' ","'Sixth form college' ",1085
2007 ,"'H1 - General Engineering' ","'State' ",1960
2007 ,"'H1 - General Engineering' ","'Other' ",360
2007 ,"'H2 - Civil Engineering' ","'Academy' ",3055
2007 ,"'H2 - Civil Engineering' ","'Further education' ",1000
2007 ,"'H2 - Civil Engineering' ","'Grammar' ",1055
2007 ,"'H2 - Civil Engineering' ","'Independent' ",1455
2007 ,"'H2 - Civil Engineering' ","'Sixth form college' ",1925
2007 ,"'H2 - Civil Engineering' ","'State' ",3615
2007 ,"'H2 - Civil Engineering' ","'Other' ",415
2007 ,"'H3 - Mechanical Engineering' ","'Academy' ",3630
2007 ,"'H3 - Mechanical Engineering' ","'Further education' ",1710
2007 ,"'H3 - Mechanical Engineering' ","'Grammar' ",765
2007 ,"'H3 - Mechanical Engineering' ","'Independent' ",2385
2007 ,"'H3 - Mechanical Engineering' ","'Sixth form college' ",2330
2007 ,"'H3 - Mechanical Engineering' ","'State' ",4375
2007 ,"'H3 - Mechanical Engineering' ","'Other' ",775
2007 ,"'H4 - Aerospace Engineering' ","'Academy' ",1755
2007 ,"'H4 - Aerospace Engineering' ","'Further education' ",760
2007 ,"'H4 - Aerospace Engineering' ","'Grammar' ",360
2007 ,"'H4 - Aerospace Engineering' ","'Independent' ",805
2007 ,"'H4 - Aerospace Engineering' ","'Sixth form college' ",1230
2007 ,"'H4 - Aerospace Engineering' ","'State' ",1835
2007 ,"'H4 - Aerospace Engineering' ","'Other' ",285
2007 ,"'H5 - Naval Architecture' ","'Academy' ",40
2007 ,"'H5 - Naval Architecture' ","'Further education' ",15
2007 ,"'H5 - Naval Architecture' ","'Grammar' ",5
2007 ,"'H5 - Naval Architecture' ","'Independent' ",40
2007 ,"'H5 - Naval Architecture' ","'Sixth form college' ",30
2007 ,"'H5 - Naval Architecture' ","'State' ",50
2007 ,"'H5 - Naval Architecture' ","'Other' ",5
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Academy' ",1670
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Further education' ",1765
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Grammar' ",350
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Independent' ",825
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Sixth form college' ",1970
2007 ,"'H6 - Electronic and Electrical Engineering' ","'State' ",2670
2007 ,"'H6 - Electronic and Electrical Engineering' ","'Other' ",630
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Academy' ",715
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Further education' ",165
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Grammar' ",175
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Independent' ",510
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Sixth form college' ",320
2007 ,"'H7 - Production and Manufacturing Engineering' ","'State' ",835
2007 ,"'H7 - Production and Manufacturing Engineering' ","'Other' ",125
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Academy' ",995
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Further education' ",215
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Grammar' ",230
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Independent' ",675
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Sixth form college' ",720
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'State' ",1530
2007 ,"'H8 - Chemical,Process and Energy Engineering' ","'Other' ",140
2007 ,"'HH - Combinations within Engineering' ","'Academy' ",325
2007 ,"'HH - Combinations within Engineering' ","'Further education' ",200
